unresolved_id,severity,phase,csv_file,source_row_number,source_record_id,relationship_field,raw_value,expected_target_entity,reason_unresolved,suggested_canonical_or_alias,suggested_resolution
REL-0016,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,119,EVT-118,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0017,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,120,EVT-119,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0018,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,121,EVT-120,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0019,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,122,EVT-121,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0020,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,122,EVT-121,Venue,School or event venue not captured from the published notice,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0021,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,123,EVT-122,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0022,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,124,EVT-123,Division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0023,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,38,,Organization,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0024,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_RESEARCH_GAPS.csv,161,,Organization,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0025,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_PRIORITY_OUTREACH_LIST.csv,5,4,Organization,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0026,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,4,INS-003,Venue,Conexus Arts Centre; Temple Gardens Centre; Art Hauser Centre; TCU Place,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0027,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,6,INS-005,Venue,U of R CKHS Main Gym and FNUniv event spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0028,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,7,INS-006,Venue,Regional venues vary,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0029,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,8,INS-007,Venue,Humboldt and Punnichy venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0030,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,9,INS-008,Venue,Community venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0031,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,10,INS-009,Venue,Battlefords and Meadow Lake venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0032,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,11,INS-010,Venue,Northern community venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0033,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,12,INS-011,Venue,North and South regional venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0034,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,13,INS-012,Venue,Community venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0035,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,14,INS-013,Venue,Merlis Belsher Place and STM spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0036,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,15,INS-014,Venue,U of R CKHS and Campion spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0037,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,16,INS-015,Venue,U of R CKHS and Luther spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0038,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,17,INS-016,Venue,College/church spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0039,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,18,INS-017,Venue,Church/campus spaces,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0040,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,19,INS-018,Venue,Campus/church venue,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0041,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,21,INS-020,Venue,College/church venue,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0042,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,22,INS-021,Venue,Multiple regional venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0043,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,23,INS-022,Venue,2026 venue not shown; 2024 used Conexus Arts Centre,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0044,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,24,INS-023,Venue,Venue not identified,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0045,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,25,INS-024,Venue,Local campus/community venue,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0046,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONTACTS.csv,34,CON-033,Organization,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0047,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONTACTS.csv,36,CON-035,Organization,University of Regina CKHS Main Gym,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0048,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONTACTS.csv,39,CON-038,Organization,APEGS,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",Association of Professional Engineers and Geoscientists of Saskatchewan,Create or confirm alias to suggested canonical record.
REL-0049,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,2,EVT-001,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0050,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,3,EVT-002,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0051,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,4,EVT-003,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0052,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,5,EVT-004,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0053,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,6,EVT-005,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0054,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,7,EVT-006,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0055,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,8,EVT-007,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0056,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,9,EVT-008,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0057,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,10,EVT-009,Venue operator,University of Saskatchewan / Merlis Belsher Place,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0058,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,11,EVT-010,Venue,CKHS Main Gym,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0059,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,12,EVT-011,Venue,CKHS Main Gym,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0060,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,13,EVT-012,Venue,CKHS Main Gym,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0061,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,14,EVT-013,Venue,CKHS Main Gym,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0062,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,15,EVT-014,Venue,CKHS Main Gym,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.","Centre for Kinesiology, Health and Sport Main Gym",Create or confirm alias to suggested canonical record.
REL-0063,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,20,EVT-019,Venue operator,City of Prince Albert,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0064,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,21,EVT-020,Venue operator,TCU Place / City of Saskatoon,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0065,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,22,EVT-021,Venue operator,TCU Place / City of Saskatoon,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0066,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,23,EVT-022,Venue operator,TCU Place / City of Saskatoon,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0067,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,24,EVT-023,Venue operator,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0068,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,26,EVT-025,Venue,FNUniv Regina campus/event grounds,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",First Nations University of Canada Regina campus/event grounds,Create or confirm alias to suggested canonical record.
REL-0069,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,26,EVT-025,Venue operator,FNUniv,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0070,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,27,EVT-026,Venue,Humboldt venue not captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0071,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,27,EVT-026,Venue operator,Local venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0072,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,28,EVT-027,Venue,Punnichy venue not captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0073,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,28,EVT-027,Venue operator,Local venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0074,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,29,EVT-028,Venue,Campus/community venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0075,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,29,EVT-028,Venue operator,College/local venues,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0076,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,30,EVT-029,Venue,Regional venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0077,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,30,EVT-029,Venue operator,College/local venues,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0078,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,31,EVT-030,Venue,Northern community venue,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0079,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,31,EVT-030,Venue operator,College/local venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0080,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,32,EVT-031,Venue,North regional venue not captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0081,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,32,EVT-031,Venue operator,College/local venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0082,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,33,EVT-032,Venue,South regional venue not captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0083,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,33,EVT-032,Venue operator,College/local venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0084,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,34,EVT-033,Venue,Community venues,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0085,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,34,EVT-033,Venue operator,College/local venues,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0086,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,35,EVT-034,Venue operator,Briercrest,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0087,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,36,EVT-035,Venue,2026 venue not stated; 2024 used Conexus Arts Centre,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0088,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,36,EVT-035,Venue operator,SATCC / host venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0089,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,37,EVT-036,Venue,Venue not captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0090,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,37,EVT-036,Venue operator,CPA Saskatchewan / venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0091,high,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,38,EVT-037,Institution,APEGS,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",Association of Professional Engineers and Geoscientists of Saskatchewan,Create or confirm alias to suggested canonical record.
REL-0092,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,38,EVT-037,Venue,Venue shown in registration; confirm directly,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0093,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,38,EVT-037,Venue operator,APEGS / venue,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0094,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,39,EVT-038,Venue,Institution/faculty venue not publicly captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
REL-0095,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,39,EVT-038,Venue operator,Institution or professional body,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0096,medium,phase_2,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,40,EVT-039,Venue,Institution/faculty venue not publicly captured,venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Keep as unknown venue status until a specific venue is confirmed.
