Organization ID,Organization,Sector,Organization type,Ceremony or event,Event date or timing,Venue,Approximate attendance,Executive director,Events contact,Membership contact,Partnerships contact,Email,Phone,Product fit,Opportunity tier,Opportunity score,Recommended approach,Source,Date verified
TPB-011,Saskatchewan Veterinary Medical Association,Veterinary medicine,Professional association/regulator,Awards and recognition,Annual timing; exact ceremony not public,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,58,Ask for annual recognition calendar and operational event owner before proposing products,https://svma.sk.ca/,2026-06-26
TPB-012,Saskatchewan Professional Teachers Regulatory Board,Teaching,Professional regulator,Teacher certification,No public ceremony identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 4,42,Ask for annual recognition calendar and operational event owner before proposing products,https://sptrb.ca/,2026-06-26
TPB-013,Saskatchewan Teachers’ Federation,Teaching,Professional member organization,Awards and recognition,Annual events; exact fit requires confirmation,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,57,Ask for annual recognition calendar and operational event owner before proposing products,https://www.stf.sk.ca/,2026-06-26
TPB-014,Saskatchewan Association of Social Workers,Social work,Professional association,Awards and professional events,Annual schedule; induction not public,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,56,Ask for annual recognition calendar and operational event owner before proposing products,https://www.sasw.ca/,2026-06-26
TPB-015,Saskatchewan Institute of Agrologists,Agriculture,Professional regulator,Designation and awards events,Annual timing; exact ceremony should be requested,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,63,Ask for annual recognition calendar and operational event owner before proposing products,https://sia.sk.ca/,2026-06-26
TPB-016,Saskatchewan College of Paramedics,Emergency services,Professional regulator,Registration and awards,No public ceremony identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,57,Ask for annual recognition calendar and operational event owner before proposing products,https://collegeofparamedics.sk.ca/,2026-06-26
TPB-017,Technology Professionals Saskatchewan,Applied science and technology,Professional regulator,Certification/member recognition,Annual timing; exact ceremony not public,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,64,Ask for annual recognition calendar and operational event owner before proposing products,https://tpsk.ca/,2026-06-26
TPB-018,Skills Canada Saskatchewan,Skilled trades and youth,Non-profit skills organization,Provincial skills competition and awards,Annual spring cycle; next date requires confirmation,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",High for awards/recognition,Tier 2,78,Ask for annual recognition calendar and operational event owner before proposing products,https://skillscanadasask.com/,2026-06-26
TPB-019,Saskatchewan Construction Association,Construction,Industry association,"Awards, conferences and member events",Annual calendar; exact recognition event requires confirmation,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",High for awards/recognition,Tier 2,70,Ask for annual recognition calendar and operational event owner before proposing products,https://scaonline.ca/,2026-06-26
TPB-020,Saskatchewan Women in Trades and Technology,Skilled trades,Non-profit industry organization,"Awards, networking and recognition",Annual calendar; exact ceremony requires confirmation,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",High for awards/recognition,Tier 2,76,Ask for annual recognition calendar and operational event owner before proposing products,https://saskwitt.ca/,2026-06-26
