Rank,Institution or organization,Campus,Contact,Title,Contact category,Expected usefulness,Opportunity,Opportunity tier,Opportunity score,Best outreach channel,Email,Phone,Reason to contact,Suggested opening angle,Desired outcome,Backup contact,Source,Date verified
17,University of Saskatchewan Students’ Union,USask,Stefanie Ewen,Facilities Manager,Venue decision-maker,VERY STRONG,Discuss approved pickup location,Tier 1,91,Email,contactus@ussu.ca,306-966-2240,"Can assess space, setup and insurance",Focus on space and flow,Discuss approved pickup location,Jason Kovitch,https://ussu.ca/contact/,2026-06-26
18,Carlton Trail College,Humboldt/Punnichy,Carlton Trail College Graduation,Graduation and program celebrations contact,Operational decision-maker,VERY STRONG,Request 2027 pilot,Tier 1,91,Email,information@carltontrailcollege.com,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Official policy creates clear route,Offer a small two-community pilot,Request 2027 pilot,Academic Director,https://www.carltontrailcollege.com/admissions/enrolment-services/graduation-and-program-celebrations/,2026-06-26
19,Conexus Arts Centre,Regina,Conexus Arts Centre Event Spaces,Venue sales contact,Venue decision-maker,VERY STRONG,Clarify non-food retail terms,Tier 1,91,Email,reception@conexusartscentre.ca,306-565-4500,Hosts Sask Poly and SATCC events,Separate flowers from outside-food policy,Clarify non-food retail terms,Event organizer,https://conexusartscentre.ca/event-spaces/,2026-06-26
20,University of Regina Students’ Association,U of R,URSA Vice-President Student Life,Vice-President Student Life,Student organization contact,VERY STRONG,Explore fundraising and promotion,Tier 1,89,Email,vp.studentlife@ursa-students.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Best student-life partnership route,Offer transparent student benefit,Explore fundraising and promotion,URSA General Office,https://ursa-students.ca/contact,2026-06-26
21,Gabriel Dumont Institute,Institution-wide,Gabriel Dumont Institute General Information,General organization contact,Routing contact,VERY STRONG,Request program contacts,Tier 1,89,Email,info@gdins.org,1-877-488-6888,Stable route to decentralized organizers,Ask program by program,Request program contacts,Executive Director’s office,https://gdins.org/contact-us/,2026-06-26
22,CPA Saskatchewan,Province-wide,CPA Saskatchewan Convocation Team,Convocation and Events contact,Operational decision-maker,VERY STRONG,Confirm vendor/preorder process,Tier 1,89,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Strong premium-gift fit,Ask for event specifics first,Confirm vendor/preorder process,Member Services,https://member.cpask.ca/cpa/CPA/Member_Events/Convocation/ConvocationEventDetail.aspx?EventKey=CONVO2026,2026-06-26
23,North West College,Battlefords,Maureen Forbes,Student Services contact,Operational decision-maker,VERY STRONG,Confirm schedule and pilot,Tier 1,88,Email,maureen.forbes@northwestcollege.ca,306-937-5100,Public student-services contact,Ask for largest ceremony,Confirm schedule and pilot,Kris Jones,https://www.northwestcollege.ca/about_us/contact_us.html,2026-06-26
24,University of Saskatchewan,Saskatoon,College of Nursing Undergraduate Advising,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 1,87,Email,undergradnursing.advising@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Nursing ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
25,University of Regina,Institution-wide,University of Regina Supply Management Services,Supply Management contact,Procurement contact,STRONG,Clarify contract/tender requirements,Tier 1,86,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-585-4111,Controls formal purchasing/vendor process,Ask after Convocation interest,Clarify contract/tender requirements,Convocation Coordinator,https://www.uregina.ca/supply-management-services/vendors.html,2026-06-26
26,Saskatchewan Indian Institute of Technologies,All campuses,SIIT Student Services,Student Services routing contact,Routing contact,STRONG,Request named event owner,Tier 1,86,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-244-4460,Can identify 2027 organizer,Ask for central graduation planner,Request named event owner,Advancement Office,https://siit.ca/contact-us/,2026-06-26
27,University of Saskatchewan,Saskatoon,WCVM Student Services,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 1,86,Email,wcvmstudentservices@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Veterinary Medicine ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
28,University of Saskatchewan,Institution-wide,USask Enterprise Procurement,Procurement contact,Procurement contact,STRONG,Clarify process after business-owner interest,Tier 2,84,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-966-5756,Determines vendor onboarding and contracts,Treat this as a process check,Clarify process after business-owner interest,Convocation Office,https://servicecatalogue.usask.ca/procurement/index.php,2026-06-26
29,University of Saskatchewan Students’ Union,USask,Nicoletta Terzi,Event & Social Media Coordinator,Student organization contact,STRONG,Explore co-promotion/fundraising,Tier 2,84,Email,contactus@ussu.ca,306-966-2510,Can route promotions and student events,Offer a low-lift campaign,Explore co-promotion/fundraising,Jason Kovitch,https://ussu.ca/contact/,2026-06-26
30,Saskatchewan Polytechnic,Institution-wide,Erin Werner,"Associate Vice-President, Advancement",Partnership or sponsorship contact,STRONG,Explore sponsor/alumni model,Tier 2,84,Email,alumni@saskpolytech.ca,306-659-3737,Can support multi-campus strategic partnership,Connect gifting to alumni engagement,Explore sponsor/alumni model,Campus Store / Convocation,https://alumni.saskpolytech.ca/contact-us,2026-06-26
31,First Nations University of Canada,Regina,First Nations University Spring Powwow Office,Event departmental contact,Partnership or sponsorship contact,STRONG,Ask about future vendor/sponsor rules,Tier 2,84,Email,springpowwow@firstnationsuniversity.ca,306-790-5950,Can explain appropriateness and process,Lead with cultural respect,Ask about future vendor/sponsor rules,FNUniv Convocation,https://www.fnunivpowwow.ca/contact,2026-06-26
32,TCU Place,Downtown,TCU Place Client Services,Client services contact,Routing contact,STRONG,Obtain event manager,Tier 2,84,Email,clientservices@tcuplace.com,306-975-7799,Can identify assigned event manager,Ask for graduation manager,Obtain event manager,Event Sales,https://tcuplace.com/planners/,2026-06-26
33,APEGS,Province-wide,APEGS Awards and Events Team,Awards and events contact,Partnership or sponsorship contact,STRONG,Propose recipient gifts,Tier 2,84,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Good sponsor-funded recognition fit,Offer sponsor-supported recipient gifts,Propose recipient gifts,Executive Director,https://www.apegs.ca/event/2026-apegs-awards-banquet,2026-06-26
34,University of Saskatchewan,Saskatoon,College of Dentistry Student Affairs,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 2,84,Email,dentistry.studentaffairs@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Dentistry ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
35,Saskatchewan Polytechnic,Institution-wide,Sarah Fedirko,"Director, Alumni & Donor Engagement",Alumni or advancement contact,STRONG,Explore alumni bundles,Tier 2,83,Email,alumni@saskpolytech.ca,306-659-3737,Can link gifts to alumni onboarding,Build on existing alumni gift,Explore alumni bundles,Convocation Office,https://alumni.saskpolytech.ca/contact-us,2026-06-26
36,University of Regina Graduate Students’ Association,U of R,Shrinath Manoharan,Vice-President Student Life,Student organization contact,STRONG,"Request the ceremony, event or partnership owner",Tier 2,83,Email,urgsastl@uregina.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a current route into relevant operations,Connect the request to the published portfolio,"Request the ceremony, event or partnership owner",Main operational office,https://www.ureginagsa.com/urgsa-executives-details,2026-06-26
37,University of Saskatchewan,Saskatoon,Engineering Student Centre,Faculty student-services contact,Faculty ceremony contact,STRONG,Request current faculty ceremony organizer,Tier 2,83,Email,esc@usask.ca,306-966-5756,"Can identify pinning, white-coat, awards or receptions",Focus on Engineering ceremonies separate from main convocation,Request current faculty ceremony organizer,USask Convocation,https://students.usask.ca/academics/graduation.php,2026-06-26
38,University of Saskatchewan Graduate Students’ Association,USask,USask Graduate Students’ Association Administration,Permanent administrative contact,Student organization contact,STRONG,Explore graduate-specific campaign,Tier 2,82,Email,gsa.admn@usask.ca,306-966-8471,Stable route for graduate events,Lead with graduate-specific celebrations,Explore graduate-specific campaign,GSA events executive,https://gsa.usask.ca/contact-us.php,2026-06-26
39,University of Regina Students’ Association,U of R,URSA General Office,General organization contact,Routing contact,STRONG,Request events/partnership owner,Tier 2,82,Email,info@ursa-students.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Stable route during leadership turnover,Ask for permanent operational oversight,Request events/partnership owner,VP Student Life,https://ursa-students.ca/contact,2026-06-26
40,Saskatchewan Polytechnic,Institution-wide,Mat Ring,"Development Officer, Sponsorship, Technology & Skilled Trades",Partnership or sponsorship contact,STRONG,Discuss sponsor gifts,Tier 2,82,Email,alumni@saskpolytech.ca,306-659-3737,Direct fit for sponsor-funded trade recognition,Offer sponsor-funded keepsakes,Discuss sponsor gifts,Erin Werner,https://alumni.saskpolytech.ca/contact-us,2026-06-26
41,North West College,Battlefords,Kris Jones,Marketing and Communications Coordinator,Routing contact,STRONG,Request organizer referral,Tier 2,82,Email,kris.jones@northwestcollege.ca,306-937-5128,Can confirm current events,Ask for current event map,Request organizer referral,Maureen Forbes,https://www.northwestcollege.ca/,2026-06-26
42,University of Saskatchewan,Saskatoon main campus; distributed clinical and research sites,University of Saskatchewan Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,convocation@usask.ca,1-877-650-1212,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Convocation Office — convocation@usask.ca,https://www.usask.ca/,2026-06-26
43,University of Regina,Regina main campus; College Avenue campus; affiliated/federated colleges,University of Regina Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,convocation@uregina.ca,306-585-4584,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Convocation Coordinator — convocation@uregina.ca / 306-585-4584,https://www.uregina.ca/,2026-06-26
44,Saskatchewan Polytechnic,"Saskatoon, Regina, Moose Jaw and Prince Albert",Saskatchewan Polytechnic Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,convocation@saskpolytech.ca,1-866-467-4278,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Convocation Office — convocation@saskpolytech.ca,https://saskpolytech.ca/,2026-06-26
45,Saskatchewan Indian Institute of Technologies,"Saskatoon, Regina, Prince Albert and community delivery",Saskatchewan Indian Institute of Technologies Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-244-4460,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Advancement Office — advancement@siit.ca,https://siit.ca/,2026-06-26
46,First Nations University of Canada,"Regina, Saskatoon and Northern Campus in Prince Albert",First Nations University of Canada Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,convocation@firstnationsuniversity.ca,306-790-5950,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Convocation Office — convocation@firstnationsuniversity.ca,https://www.fnuniv.ca/,2026-06-26
47,Gabriel Dumont Institute,"Multiple centres and programs including SUNTEP, GDC, DTI and Training & Employment",Gabriel Dumont Institute Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,info@gdins.org,1-877-488-6888,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Program graduation routing through info@gdins.org,https://gdins.org/,2026-06-26
48,Carlton Trail College,"Humboldt, Punnichy, Wynyard, Watrous and other sites",Carlton Trail College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,information@carltontrailcollege.com,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Enrolment Services / Graduation,https://www.carltontrailcollege.com/,2026-06-26
49,Great Plains College,"Swift Current, Warman, Kindersley and other sites",Great Plains College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",1-866-296-2472,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Student Services / campus program coordinators,https://www.greatplainscollege.ca/,2026-06-26
50,North West College,"Battlefords, Meadow Lake and regional sites",North West College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-937-5100,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Student Services / Graduation,https://www.northwestcollege.ca/,2026-06-26
51,Northlands College,"La Ronge, Air Ronge, Buffalo Narrows, Creighton, Île-à-la-Crosse and other sites",Northlands College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-425-4334,Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Student Services / Registrar,https://northlandscollege.ca/,2026-06-26
52,Suncrest College,"Yorkton, Melville, Melfort, Tisdale, Nipawin, Canora, Kamsack, Fort Qu’Appelle",Suncrest College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,info@suncrestcollege.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Graduation Team / Student Services,https://suncrestcollege.ca/,2026-06-26
53,Southeast College,"Assiniboia, Estevan, Indian Head, Moosomin, Weyburn and Whitewood",Southeast College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Student Services / campus administration,https://www.southeastcollege.org/,2026-06-26
54,St. Thomas More College,USask campus,St. Thomas More College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",STM Events/Advancement,https://stmcollege.ca/,2026-06-26
55,Campion College,U of R campus,Campion College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Campion Events/Advancement,https://www.campioncollege.ca/,2026-06-26
56,Luther College at the University of Regina,U of R campus,Luther College at the University of Regina Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Luther Events/Student Services,https://www.luthercollege.edu/university/,2026-06-26
57,St. Andrew’s College,USask campus,St. Andrew’s College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",College Administration,https://standrews.ca/,2026-06-26
58,College of Emmanuel & St. Chad,Saskatoon theological community,College of Emmanuel & St. Chad Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",College Administration,https://www.usask.ca/stu/emmanuel/,2026-06-26
59,Horizon College & Seminary,Saskatoon and online,Horizon College & Seminary Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Registrar/Academic Office,https://www.horizon.edu/,2026-06-26
60,Briercrest College and Seminary,Caronport,Briercrest College and Seminary Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Registrar/Commencement,https://www.briercrest.ca/,2026-06-26
61,Nipawin Bible College,Nipawin,Nipawin Bible College Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Academic Office,https://nipawin.org/,2026-06-26
62,Saskatchewan Colleges,Member-college network,Saskatchewan Colleges Events / Graduation Office,Events / Graduation Office,Operational decision-maker,STRONG,"Confirm date, venue, attendance and vendor approval",Tier 2,82,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Provides a documented institutional route where a more specific named contact was not public,Ask a precise routing or process question,"Confirm date, venue, attendance and vendor approval",Network administration / member referral,https://saskcolleges.ca/about/,2026-06-26
