Organization,Missing information,Searches attempted,Sources checked,Best person or office to call,Phone number,Exact question to ask,Priority,Recommended next action
Northlands College,"Official graduation contact, venue and 2027 schedule","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://northlandscollege.ca/,Student Services,306-425-4334,"Who organized the June 2026 graduation, and what is planned for 2027?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Suncrest College,"Exact two-event dates, venues, counts and organizer","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://suncrestcollege.ca/graduation,Graduation Team,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","What were the North and South venues/attendance, and who plans 2027?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Southeast College,Whether centralized formal graduations occur,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.southeastcollege.org/,Student Services / Marketing,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Which 2027 completions are formal public ceremonies, and which is largest?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
SATCC,"2026 venue, sponsor deadline and permitted gifting/retail","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://saskapprenticeship.ca/apprenticeship-celebration-dinner/,Celebration Dinner Team,1-877-363-0536,"What is the venue, sponsorship deadline, and are recipient gifts or a display permitted?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
CPA Saskatchewan,"Exact convocation date, venue, attendance and vendor rules","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://member.cpask.ca/cpa/CPA/Member_Events/Convocation/ConvocationEventDetail.aspx?EventKey=CONVO2026,Events / Member Services,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",What are the exact event details and approval process for flowers/keepsakes?,High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
APEGS,Venue/capacity and sponsor-funded recipient gifts,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.apegs.ca/event/2026-apegs-awards-banquet,Awards and Events,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Can sponsor-funded recipient flowers or gifts be included at the awards banquet?,High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Merlis Belsher Place,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,Event Sales / assigned event manager,306-385-3200,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
TCU Place,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://tcuplace.com/planners/,Event Sales / assigned event manager,306-975-7777,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
Prairieland Park,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://prairielandpark.com/contact/,Event Sales / assigned event manager,306-931-7149,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
Conexus Arts Centre,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://conexusartscentre.ca/event-spaces/,Event Sales / assigned event manager,306-565-4500,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
Temple Gardens Centre,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://www.templegardenscentre.ca/,Event Sales / assigned event manager,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
Art Hauser Centre,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://www.citypa.ca/en/parks-recreation-and-culture/art-hauser-centre.aspx,Event Sales / assigned event manager,306-953-4848,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
U of R CKHS Main Gym,"Written outside-vendor, insurance, commission, loading and exclusivity terms",Reviewed official booking/contact/FAQ pages and targeted vendor-policy searches; complete terms were not public,https://www.uregina.ca/kinesiology-health-studies/facilities/facility-rentals.html,Event Sales / assigned event manager,306-585-4111,"For an event-client-approved flower and keepsake stand, what insurance, fee, load-in, signage and exclusivity rules apply?",High,Obtain written terms before pricing or committing inventory
USask College of Medicine,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://www.usask.ca/,College Student Affairs / Events,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Who organizes the next white-coat ceremony, with date, venue, attendance and vendor rules?",High,"Contact the office and add a dated, sourced ceremony record"
USask College of Nursing,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://students.usask.ca/academics/graduation.php,Undergraduate Advising,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Is there a pinning/recognition ceremony separate from convocation, and who owns it?",High,"Contact the office and add a dated, sourced ceremony record"
USask WCVM,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://students.usask.ca/academics/graduation.php,WCVM Student Services,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",What is the next white-coat/recognition event and can preorders be promoted?,High,"Contact the office and add a dated, sourced ceremony record"
USask Engineering / Camp 4,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://students.usask.ca/academics/graduation.php,Engineering Student Centre,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Who owns the Iron Ring ceremony/reception and are flowers or gifts sold?,High,"Contact the office and add a dated, sourced ceremony record"
U of R Faculty of Nursing,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://www.uregina.ca/,Faculty Student Services,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Is there an annual pinning/recognition event and who approves vendors?,High,"Contact the office and add a dated, sourced ceremony record"
Horizon College & Seminary,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://www.horizon.edu/,Registrar / Academic Office,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","What is the next graduation date, venue, attendance and vendor process?",Medium,"Contact the office and add a dated, sourced ceremony record"
Briercrest College and Seminary,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://www.briercrest.ca/,Registrar / Commencement,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","What is the next commencement date, attendance and campus vendor process?",Medium,"Contact the office and add a dated, sourced ceremony record"
St. Andrew’s College,Current specialized-ceremony operational details,Reviewed available official faculty/institution pages and targeted event searches; a current complete record was not public,https://standrews.ca/,College Administration,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","What is the next convocation date, venue and organizer?",Medium,"Contact the office and add a dated, sourced ceremony record"
