School ID,School name,School division,School type,City,Address,Website,General email,Phone,Principal,Vice-principal,Graduation coordinator,Administrative assistant,Student leadership contact,Approximate enrolment,Approximate graduating class,Graduation date,Graduation venue,Graduation page,Opportunity tier,Opportunity score,Main approval route,Main contact,Backup contact,Notes,Source URLs,Date verified
SCH-027,Archbishop M.C. O’Neill Catholic High School,Regina Roman Catholic Separate School Division No. 81,Urban Catholic high school,Regina,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.rcsd.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 900–1,500 students; verify with school.",Estimated 180–330 graduates; verify with school.,2026-06-26 — Confirmed,Conexus Arts Centre,https://conexusartscentre.ca/,Tier 1,90,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Regina Roman Catholic Separate School Division No. 81 main office — 306-791-7200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
SCH-028,Dr. Martin LeBoldus Catholic High School,Regina Roman Catholic Separate School Division No. 81,Urban Catholic high school,Regina,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.rcsd.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 900–1,500 students; verify with school.",Estimated 180–330 graduates; verify with school.,2026-06-25 — Confirmed,Conexus Arts Centre,https://conexusartscentre.ca/,Tier 1,92,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Regina Roman Catholic Separate School Division No. 81 main office — 306-791-7200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
SCH-029,Michael A. Riffel Catholic High School,Regina Roman Catholic Separate School Division No. 81,Urban Catholic high school,Regina,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.rcsd.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 900–1,500 students; verify with school.",Estimated 180–330 graduates; verify with school.,2026-06-25 — Confirmed,Conexus Arts Centre,https://conexusartscentre.ca/,Tier 1,92,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Regina Roman Catholic Separate School Division No. 81 main office — 306-791-7200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
SCH-030,Miller Comprehensive Catholic High School,Regina Roman Catholic Separate School Division No. 81,Urban Catholic high school,Regina,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.rcsd.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 900–1,500 students; verify with school.",Estimated 180–330 graduates; verify with school.,2026-06-25 — Confirmed,Conexus Arts Centre,https://conexusartscentre.ca/,Tier 1,92,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Regina Roman Catholic Separate School Division No. 81 main office — 306-791-7200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
SCH-031,Carlton Comprehensive High School,Saskatchewan Rivers School Division No. 119,Regional public high school,Prince Albert,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.srsd119.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 500–2,000 students depending school; verify.",Estimated 80–400 graduates depending school; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,90,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Saskatchewan Rivers School Division No. 119 main office — 306-764-1571,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
SCH-032,Prince Albert Collegiate Institute,Saskatchewan Rivers School Division No. 119,Regional public high school,Prince Albert,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.srsd119.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 500–2,000 students depending school; verify.",Estimated 80–400 graduates depending school; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,78,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Saskatchewan Rivers School Division No. 119 main office — 306-764-1571,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
SCH-033,Wesmor Public High School,Saskatchewan Rivers School Division No. 119,Regional public high school,Prince Albert,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.srsd119.ca/schools,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 500–2,000 students depending school; verify.",Estimated 80–400 graduates depending school; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,76,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Saskatchewan Rivers School Division No. 119 main office — 306-764-1571,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
SCH-034,St. Mary High School,Prince Albert Roman Catholic Separate School Division No. 6,Regional Catholic high school,Prince Albert,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.pacsd.ca/smhs,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 800–1,200 students; verify.",Estimated 150–250 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,87,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Prince Albert Roman Catholic Separate School Division No. 6 main office — 306-953-7500,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.pacsd.ca/smhs; https://www.pacsd.ca/,2026-06-26
SCH-035,A.E. Peacock Collegiate,Prairie South School Division No. 210,Regional public collegiate,Moose Jaw,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.prairiesouth.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 450–900 students; verify with school.,Estimated 70–170 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,84,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Prairie South School Division No. 210 main office — 306-694-1200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
SCH-036,Central Collegiate,Prairie South School Division No. 210,Regional public collegiate,Moose Jaw,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.prairiesouth.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 450–900 students; verify with school.,Estimated 70–170 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,82,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Prairie South School Division No. 210 main office — 306-694-1200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
SCH-037,Riverview Collegiate Institute,Prairie South School Division No. 210,Regional public collegiate,Moose Jaw,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.prairiesouth.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 450–900 students; verify with school.,Estimated 70–170 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,72,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Prairie South School Division No. 210 main office — 306-694-1200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.prairiesouth.ca/; https://www.prairiesouth.ca/,2026-06-26
SCH-038,Vanier Collegiate,Holy Trinity Roman Catholic Separate School Division No. 22,Regional Catholic collegiate,Moose Jaw,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.htcsd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 450–900 students; verify with school.,Estimated 70–170 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,80,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Holy Trinity Roman Catholic Separate School Division No. 22 main office — 306-694-5333,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.htcsd.ca/; https://www.htcsd.ca/,2026-06-26
SCH-039,North Battleford Comprehensive High School,Living Sky School Division No. 202,Regional public comprehensive high school,North Battleford,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.livingskysd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 40–220 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,86,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Living Sky School Division No. 202 main office — 306-937-7702,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.livingskysd.ca/; https://www.livingskysd.ca/,2026-06-26
SCH-040,John Paul II Collegiate,Light of Christ Roman Catholic Separate School Division No. 16,Regional Catholic high school,North Battleford,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.loccsd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 40–220 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,82,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Light of Christ Roman Catholic Separate School Division No. 16 main office — 306-445-6158,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.loccsd.ca/; https://www.loccsd.ca/,2026-06-26
SCH-041,Sakewew High School,Living Sky School Division No. 202,Indigenous-focused public high school,North Battleford,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.livingskysd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 40–220 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,72,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Living Sky School Division No. 202 main office — 306-937-7702,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.livingskysd.ca/; https://www.livingskysd.ca/,2026-06-26
SCH-042,Yorkton Regional High School,Good Spirit School Division No. 204,Regional high school,Yorkton,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.gssd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 30–230 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,88,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Good Spirit School Division No. 204 main office — 306-786-5500,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
SCH-043,Sacred Heart High School,Christ the Teacher Roman Catholic Separate School Division No. 212,Regional high school,Yorkton,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.christtheteacher.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 30–230 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,84,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Christ the Teacher Roman Catholic Separate School Division No. 212 main office — 306-783-8787,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.christtheteacher.ca/; https://www.christtheteacher.ca/,2026-06-26
SCH-044,Dreambuilders High School,Good Spirit School Division No. 204,Regional high school,Yorkton,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.gssd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 30–230 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 3,62,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Good Spirit School Division No. 204 main office — 306-786-5500,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
SCH-045,Canora Composite School,Good Spirit School Division No. 204,Regional high school,Canora,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.gssd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 30–230 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,70,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Good Spirit School Division No. 204 main office — 306-786-5500,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
SCH-046,Kamsack Comprehensive Institute,Good Spirit School Division No. 204,Regional high school,Kamsack,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.gssd.ca/,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 250–1,200 students depending school; verify.",Estimated 30–230 graduates; verify.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,69,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Good Spirit School Division No. 204 main office — 306-786-5500,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.gssd.ca/; https://www.gssd.ca/,2026-06-26
