Organization,Policy type,Policy name,Policy URL,Relevant summary,Likely impact on Bloom Boys,Approval likely required from,Insurance requirement,Branding restriction,Fundraising restriction,Procurement requirement,Venue requirement,Confidence level,Date verified
Living Sky School Division No. 202,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.livingskysd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Lloydminster Roman Catholic Separate School Division No. 89,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.lcsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Lloydminster School Division No. 99,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.lpsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
North East School Division No. 200,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.nesd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Northern Lights School Division No. 113,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.nlsd113.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Northwest School Division No. 203,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.nwsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Prairie South School Division No. 210,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.prairiesouth.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Prairie Spirit School Division No. 206,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.spiritsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Prairie Valley School Division No. 208,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.pvsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Prince Albert Roman Catholic Separate School Division No. 6,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.pacsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Regina Roman Catholic Separate School Division No. 81,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.rcsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Regina School Division No. 4,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.reginapublicschools.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Saskatchewan Rivers School Division No. 119,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.srsd119.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Saskatoon School Division No. 13,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.spsd.sk.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
South East Cornerstone School Division No. 209,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.secpsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.gscs.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Sun West School Division No. 207,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.sunwestsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Saskatoon Tribal Council Education,Community / authority approval,Education authority and community protocols,https://sktc.sk.ca/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
Prince Albert Grand Council Education,Community / authority approval,Education authority and community protocols,https://pagc.sk.ca/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
Meadow Lake Tribal Council Education,Community / authority approval,Education authority and community protocols,https://www.mltc.net/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
Lac La Ronge Indian Band Education,Community / authority approval,Education authority and community protocols,https://llrib.com/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
Treaty 4 Education Alliance,Community / authority approval,Education authority and community protocols,https://t4ea.com/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
File Hills Qu’Appelle Tribal Council Education,Community / authority approval,Education authority and community protocols,https://fhqtc.com/,"Indigenous education authorities and First Nations may use local governance, education-department and community protocols rather than provincial school-division procedures.",Bloom Boys must seek respectful local approval and avoid assuming a standard school-division procurement route.,"Education authority, school leadership, local community governance and venue.",Insurance requirements require direct confirmation.,"Community, Nation and school identity use requires express permission.",Revenue sharing or fundraising must be approved locally.,Procurement process is organization-specific and not publicly verified.,Community or host-venue approval is likely.,Medium,2026-06-26
TCU Place,Venue / commercial activity,Event-planner and venue rules,https://tcuplace.com/planners/,"Event managers coordinate setup, client requirements, facility access and services.","Even with school approval, Bloom Boys needs venue approval for placement, load-in, insurance, signage and possible fees.",TCU Place Event Sales plus school/event client,Request certificate limits from assigned manager.,School logos remain subject to school/division permission.,Event-client fundraising terms require school approval.,Venue licence rather than public-school procurement may apply.,Venue approval is essential; in-house services may affect operations.,High,2026-06-26
Conexus Arts Centre,Venue / concessions,Event spaces and FAQ,https://conexusartscentre.ca/faqs/,The venue publishes an outside food/beverage restriction; complete non-food retail terms are not public.,"Flowers and keepsakes are non-food, but written approval is still required for lobby sales, setup and any commission.",Conexus event management plus school/event client,Request event-specific insurance limits.,School branding requires school/division permission.,School controls fundraising purpose; venue controls facility activity.,Event licence/fee may apply.,Venue approval may matter as much as school approval for Regina graduations.,High,2026-06-26
Merlis Belsher Place,Venue / facility use,Bookings and rates,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,"Venue booking staff control facility access, event setup and rates.",School approval alone does not authorize a commercial stand inside the facility.,Merlis Belsher Place booking plus school/division client,Request event-specific certificate limits.,School/division branding approval remains required.,School/division controls revenue-sharing purpose.,USask procurement may apply for university-owned events.,Written venue approval and assigned load-in instructions are required.,High,2026-06-26
Prairieland Park,Venue / event use,Event booking contact,https://prairielandpark.com/contact/,Event booking and operations control hall setup and approved vendors.,Bloom Boys requires both event-client and venue approval.,Prairieland event manager plus school/division client,Request certificate limits.,School/division branding permission is separate.,School approves fundraising/revenue share.,Venue agreement may apply.,Written hall/vendor and load-in terms required.,Medium,2026-06-26
