Organization,Missing information,Search attempts,Sources checked,Best person to call,Phone number,Exact question to ask,Priority,Recommended next step
Living Sky School Division No. 202,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.livingskysd.ca/; Full board-page URL not separately verified in this build; start from https://www.livingskysd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-937-7702,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Lloydminster Roman Catholic Separate School Division No. 89,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.lcsd.ca/; Full board-page URL not separately verified in this build; start from https://www.lcsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,780-808-8585,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Lloydminster School Division No. 99,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.lpsd.ca/; Full board-page URL not separately verified in this build; start from https://www.lpsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,780-875-5541,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
North East School Division No. 200,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.nesd.ca/; Full board-page URL not separately verified in this build; start from https://www.nesd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-752-5741,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Northern Lights School Division No. 113,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.nlsd113.ca/; Full board-page URL not separately verified in this build; start from https://www.nlsd113.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-425-3302,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Northwest School Division No. 203,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.nwsd.ca/; Full board-page URL not separately verified in this build; start from https://www.nwsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-236-5614,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Prairie South School Division No. 210,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.prairiesouth.ca/; Full board-page URL not separately verified in this build; start from https://www.prairiesouth.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-694-1200,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Prairie Spirit School Division No. 206,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.spiritsd.ca/; Full board-page URL not separately verified in this build; start from https://www.spiritsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-683-2800,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Prairie Valley School Division No. 208,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.pvsd.ca/; Full board-page URL not separately verified in this build; start from https://www.pvsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-949-3366,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Prince Albert Roman Catholic Separate School Division No. 6,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.pacsd.ca/; Full board-page URL not separately verified in this build; start from https://www.pacsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-953-7500,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Regina Roman Catholic Separate School Division No. 81,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.rcsd.ca/; https://www.rcsd.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-791-7200,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Regina School Division No. 4,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.reginapublicschools.ca/; https://www.reginapublicschools.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-523-3000,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Saskatchewan Rivers School Division No. 119,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.srsd119.ca/; Full board-page URL not separately verified in this build; start from https://www.srsd119.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-764-1571,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Saskatoon School Division No. 13,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.spsd.sk.ca/; https://www.spsd.sk.ca/Board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-683-8200,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
South East Cornerstone School Division No. 209,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.secpsd.ca/; Full board-page URL not separately verified in this build; start from https://www.secpsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-848-0080,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.gscs.ca/; https://www.gscs.ca/page/board-of-education; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-659-7000,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",High,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Sun West School Division No. 207,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-882-2677,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Saskatoon Tribal Council Education,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://sktc.sk.ca/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Prince Albert Grand Council Education,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://pagc.sk.ca/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Meadow Lake Tribal Council Education,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.mltc.net/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Lac La Ronge Indian Band Education,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://llrib.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Treaty 4 Education Alliance,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://t4ea.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
File Hills Qu’Appelle Tribal Council Education,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://fhqtc.com/; Not applicable in the same form as a provincial school-division board; leadership/council route applies.; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Aden Bowman Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/adenbowman; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Bedford Road Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/bedfordroad; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Centennial Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/centennial; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Evan Hardy Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/evanhardy; https://www.spsd.sk.ca/,School administrative office / principal,306-683-7700,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Marion M. Graham Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/marionmgraham; https://www.spsd.sk.ca/,School administrative office / principal,306-683-7750,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Mount Royal Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/mountroyal; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Nutana Collegiate,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/nutana; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Tommy Douglas Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/tommydouglas; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Walter Murray Collegiate,graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/waltermurray; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Estey School Secondary Program,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.spsd.sk.ca/estey; https://www.spsd.sk.ca/,School administrative office / principal,306-683-8200,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Bethlehem Catholic High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.gscs.ca/bet; https://www.gscs.ca/,School administrative office / principal,306-659-7000,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
