Rank,Organization,School,Contact,Title,Contact category,Expected usefulness,Opportunity tier,Opportunity score,Best outreach channel,Email,Phone,Reason to contact,Suggested opening angle,Desired outcome,Backup contact,Source,Date verified
12,REAL District / Queensbury Convention Centre,Not applicable to this record.,Queensbury Convention Centre Event Sales,Venue Sales,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://realdistrict.ca/venues/queensbury-convention-centre/,2026-06-26
13,Aden Bowman Collegiate,Aden Bowman Collegiate,Ryan Brimacombe,Principal,Operational decision-maker,VERY STRONG,Tier 1,88,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/adenbowman,2026-06-26
14,Bedford Road Collegiate,Bedford Road Collegiate,Sarah Nahachewsky,Principal,Operational decision-maker,VERY STRONG,Tier 1,85,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/bedfordroad,2026-06-26
15,Centennial Collegiate,Centennial Collegiate,Wendy Benson,Principal,Operational decision-maker,VERY STRONG,Tier 1,92,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/centennial,2026-06-26
16,Evan Hardy Collegiate,Evan Hardy Collegiate,Karen Peterson,Principal,Operational decision-maker,VERY STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",306-683-7700,The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/evanhardy,2026-06-26
17,Marion M. Graham Collegiate,Marion M. Graham Collegiate,Jay Harvey,Principal,Operational decision-maker,VERY STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",306-683-7750,The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/marionmgraham,2026-06-26
18,Mount Royal Collegiate,Mount Royal Collegiate,Scott Ferguson,Principal,Operational decision-maker,VERY STRONG,Tier 1,86,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/mountroyal,2026-06-26
19,Tommy Douglas Collegiate,Tommy Douglas Collegiate,Kevin McNarland,Principal,Operational decision-maker,VERY STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/tommydouglas,2026-06-26
20,Walter Murray Collegiate,Walter Murray Collegiate,Dave Fisher,Principal,Operational decision-maker,VERY STRONG,Tier 1,94,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.spsd.sk.ca/waltermurray,2026-06-26
21,Bishop James Mahoney High School,Bishop James Mahoney High School,Cheryl Fenrich,Principal,Operational decision-maker,VERY STRONG,Tier 1,89,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.gscs.ca/bjm,2026-06-26
22,Holy Cross High School,Holy Cross High School,Krista Hayes,Principal,Operational decision-maker,VERY STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.gscs.ca/hch,2026-06-26
23,St. Joseph High School,St. Joseph High School,Jason Benson,Principal,Operational decision-maker,VERY STRONG,Tier 1,94,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",The principal is the strongest publicly identified school-level decision-maker when no graduation coordinator is listed.,"Lead with zero cost, zero lift, approved products and community benefit.",Request permission to present the model and identify any division/venue approvals.,School office / vice-principal,https://www.gscs.ca/jos,2026-06-26
24,Aden Bowman Collegiate,Aden Bowman Collegiate,Chris Roy; Tobi Tamblyn,Vice-principal,Operational decision-maker,STRONG,Tier 1,88,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/adenbowman,2026-06-26
25,Bedford Road Collegiate,Bedford Road Collegiate,Jason Wagar,Vice-principal,Operational decision-maker,STRONG,Tier 1,85,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/bedfordroad,2026-06-26
26,Centennial Collegiate,Centennial Collegiate,Aaron Adair; Sharlene Cooper,Vice-principal,Operational decision-maker,STRONG,Tier 1,92,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/centennial,2026-06-26
27,Evan Hardy Collegiate,Evan Hardy Collegiate,Tommy Williams,Vice-principal,Operational decision-maker,STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",306-683-7700,Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/evanhardy,2026-06-26
28,Marion M. Graham Collegiate,Marion M. Graham Collegiate,Jillian Harbidge,Vice-principal,Operational decision-maker,STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",306-683-7750,Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/marionmgraham,2026-06-26
29,Mount Royal Collegiate,Mount Royal Collegiate,Kate Clements,Vice-principal,Operational decision-maker,STRONG,Tier 1,86,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/mountroyal,2026-06-26
30,Tommy Douglas Collegiate,Tommy Douglas Collegiate,Tammy Chief; Sean Hayes,Vice-principal,Operational decision-maker,STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/tommydouglas,2026-06-26
31,Walter Murray Collegiate,Walter Murray Collegiate,"Jonathan McKee, acting; Zoe Pasloski; Shauna Pierce",Vice-principal,Operational decision-maker,STRONG,Tier 1,94,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.spsd.sk.ca/waltermurray,2026-06-26
32,Bethlehem Catholic High School,Bethlehem Catholic High School,David Buttinger,Vice-principal,Operational decision-maker,STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Vice-principals often oversee student events and can identify the graduation committee.,Ask whether graduation is in the vice-principal’s portfolio.,Confirm organizer and approval sequence.,Principal / school office,https://www.gscs.ca/bet,2026-06-26
33,Aden Bowman Collegiate,Aden Bowman Collegiate,Aden Bowman Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,88,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/adenbowman,2026-06-26
34,Bedford Road Collegiate,Bedford Road Collegiate,Bedford Road Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,85,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/bedfordroad,2026-06-26
35,Centennial Collegiate,Centennial Collegiate,Centennial Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,92,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/centennial,2026-06-26
36,Evan Hardy Collegiate,Evan Hardy Collegiate,Evan Hardy Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,91,Email,EvanHardySchool@spsd.sk.ca,306-683-7700,"The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/evanhardy,2026-06-26
37,Marion M. Graham Collegiate,Marion M. Graham Collegiate,Marion M. Graham Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,91,Email,MarionM.GrahamSchool@spsd.sk.ca,306-683-7750,"The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/marionmgraham,2026-06-26
38,Mount Royal Collegiate,Mount Royal Collegiate,Mount Royal Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,86,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/mountroyal,2026-06-26
39,Tommy Douglas Collegiate,Tommy Douglas Collegiate,Tommy Douglas Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/tommydouglas,2026-06-26
40,Walter Murray Collegiate,Walter Murray Collegiate,Walter Murray Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,94,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.spsd.sk.ca/waltermurray,2026-06-26
41,Bethlehem Catholic High School,Bethlehem Catholic High School,Bethlehem Catholic High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,91,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/bet,2026-06-26
42,Bishop James Mahoney High School,Bishop James Mahoney High School,Bishop James Mahoney High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,89,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/bjm,2026-06-26
43,E.D. Feehan Catholic High School,E.D. Feehan Catholic High School,E.D. Feehan Catholic High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,84,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/edf,2026-06-26
44,Holy Cross High School,Holy Cross High School,Holy Cross High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/hch,2026-06-26
45,Oskāyak High School,Oskāyak High School,Oskāyak High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,86,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/osk,2026-06-26
46,St. Joseph High School,St. Joseph High School,St. Joseph High School School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,94,Email,St.Joseph@gscs.ca,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.gscs.ca/jos,2026-06-26
47,Balfour Collegiate,Balfour Collegiate,Balfour Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,86,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.reginapublicschools.ca/high-schools,2026-06-26
48,Campbell Collegiate,Campbell Collegiate,Campbell Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,93,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.reginapublicschools.ca/high-schools,2026-06-26
49,F.W. Johnson Collegiate,F.W. Johnson Collegiate,F.W. Johnson Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,89,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.reginapublicschools.ca/high-schools,2026-06-26
50,Sheldon-Williams Collegiate,Sheldon-Williams Collegiate,Sheldon-Williams Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,90,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.reginapublicschools.ca/high-schools,2026-06-26
51,Thom Collegiate,Thom Collegiate,Thom Collegiate School Office,School administrative office / graduation routing contact,Routing contact,VERY STRONG,Tier 1,85,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","The school office can identify the graduation lead, principal availability and committee contact.",Ask one precise question and mention the next graduation cycle.,Identify the current graduation coordinator and book a principal conversation.,Principal or vice-principal,https://www.reginapublicschools.ca/high-schools,2026-06-26
