Division ID,Division name,Division type,Headquarters city,Region served,Number of schools,Number of secondary schools,Approximate student population,Official website,Staff directory,Trustee directory,Procurement page,Vendor registration page,Relevant policies,Main office email,Main office phone,Director or superintendent,Operations contact,Procurement contact,Communications contact,Board chair,Main approval route,Opportunity notes,Source URLs,Date verified
DIV-011,Living Sky School Division No. 202,Public school division,North Battleford,North-central and west-central Saskatchewan,Approximately 27,Approximately 12,"Approximately 5,700",https://www.livingskysd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.livingskysd.ca/,Full board-page URL not separately verified in this build; start from https://www.livingskysd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.livingskysd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-937-7702,Brenda Vickers,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Ronna Pethick,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.livingskysd.ca/; Full board-page URL not separately verified in this build; start from https://www.livingskysd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-012,Lloydminster Roman Catholic Separate School Division No. 89,Catholic separate school division,Lloydminster,Lloydminster Catholic community,6,1,"Approximately 3,000",https://www.lcsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.lcsd.ca/,Full board-page URL not separately verified in this build; start from https://www.lcsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.lcsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,780-808-8585,Glenda Kary,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Paula Scott,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.lcsd.ca/; Full board-page URL not separately verified in this build; start from https://www.lcsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-013,Lloydminster School Division No. 99,Public school division,Lloydminster,Lloydminster public schools,10,1,"Approximately 4,500",https://www.lpsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.lpsd.ca/,Full board-page URL not separately verified in this build; start from https://www.lpsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.lpsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,780-875-5541,Jason Neville,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Melanie Mutter,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.lpsd.ca/; Full board-page URL not separately verified in this build; start from https://www.lpsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-014,North East School Division No. 200,Public school division,Melfort,Northeast Saskatchewan,Approximately 22,Approximately 10,"Approximately 4,700",https://www.nesd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.nesd.ca/,Full board-page URL not separately verified in this build; start from https://www.nesd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.nesd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-752-5741,Stacy Lair,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Kathrene Bank,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.nesd.ca/; Full board-page URL not separately verified in this build; start from https://www.nesd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-015,Northern Lights School Division No. 113,Northern public school division,La Ronge,Northern Saskatchewan,Approximately 20,Approximately 11,"Approximately 4,000",https://www.nlsd113.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.nlsd113.ca/,Full board-page URL not separately verified in this build; start from https://www.nlsd113.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.nlsd113.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-425-3302,Jason Young,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Joey McCallum,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.nlsd113.ca/; Full board-page URL not separately verified in this build; start from https://www.nlsd113.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-016,Northwest School Division No. 203,Public school division,Meadow Lake,Northwest Saskatchewan,Approximately 21,Approximately 10,"Approximately 4,500",https://www.nwsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.nwsd.ca/,Full board-page URL not separately verified in this build; start from https://www.nwsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.nwsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-236-5614,Jennifer Williamson,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Travis Neufeld,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.nwsd.ca/; Full board-page URL not separately verified in this build; start from https://www.nwsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-017,Prairie South School Division No. 210,Public school division,Moose Jaw,South-central Saskatchewan,Approximately 40,Approximately 16,"Approximately 7,200",https://www.prairiesouth.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.prairiesouth.ca/,Full board-page URL not separately verified in this build; start from https://www.prairiesouth.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.prairiesouth.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-694-1200,Ryan Boughen,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Giselle Wilson,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.prairiesouth.ca/; Full board-page URL not separately verified in this build; start from https://www.prairiesouth.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-018,Prairie Spirit School Division No. 206,Public school division,Warman,Communities surrounding Saskatoon,Approximately 49,Approximately 18,"Approximately 12,000",https://www.spiritsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.spiritsd.ca/,Full board-page URL not separately verified in this build; start from https://www.spiritsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.spiritsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-683-2800,Tracey Young,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Kate Kading,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.spiritsd.ca/; Full board-page URL not separately verified in this build; start from https://www.spiritsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-019,Prairie Valley School Division No. 208,Public school division,Regina,Rural and small-city communities surrounding Regina,Approximately 39,Approximately 17,"Approximately 8,800",https://www.pvsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.pvsd.ca/,Full board-page URL not separately verified in this build; start from https://www.pvsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.pvsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-949-3366,Gord Husband,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Janet Kotylak,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.pvsd.ca/; Full board-page URL not separately verified in this build; start from https://www.pvsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-020,Prince Albert Roman Catholic Separate School Division No. 6,Catholic separate school division,Prince Albert,Prince Albert Catholic schools,6,1,"Approximately 3,200",https://www.pacsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.pacsd.ca/,Full board-page URL not separately verified in this build; start from https://www.pacsd.ca/,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.pacsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-953-7500,Lorel Trumier,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Suzanne Stubbs,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.pacsd.ca/; Full board-page URL not separately verified in this build; start from https://www.pacsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-021,Regina Roman Catholic Separate School Division No. 81,Catholic separate school division,Regina,Regina Catholic schools,32,4,"Approximately 12,000",https://www.rcsd.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.rcsd.ca/,https://www.rcsd.ca/board,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.rcsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-791-7200,Kelley Ehman,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Ryan Bast,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.rcsd.ca/; https://www.rcsd.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
DIV-022,Regina School Division No. 4,Public school division,Regina,Regina public schools,Approximately 57,9,"Approximately 25,000",https://www.reginapublicschools.ca/,No dedicated staff-directory URL was separately verified; use the official website: https://www.reginapublicschools.ca/,https://www.reginapublicschools.ca/board,https://sasktenders.ca/,No division-specific public vendor-registration page was located; contact finance/procurement and monitor SaskTenders.,"https://www.reginapublicschools.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.",General email not publicly verified in the provincial directory; use official contact form or main phone.,306-523-3000,Mark Haarmann,Chief financial/business or facilities office; exact current operational contact is listed in CONTACTS or RESEARCH GAPS.,Finance/business services or purchasing department; no personal procurement email is inferred.,Division communications office or general administration; exact route requires official-site confirmation.,Adam Hicks,"Individual school approval likely, with division finance/operations review for contracts, logo use, revenue sharing or a division-wide arrangement; outside venue approval may also be required.","Division-wide relationship could create recurring access to several graduations, but principals and graduation committees remain the strongest school-level starting point.",https://www.reginapublicschools.ca/; https://www.reginapublicschools.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,2026-06-26
