Event ID,School,Division,Event name,Confirmed or estimated date,Ceremony time,Venue,Venue operator,City,Approximate graduates,Estimated attendance,Primary school contact,Venue contact,Existing vendor,Product fit,Approval authority,Opportunity score,Opportunity tier,Recommended next step,Source,Date verified
EVT-020,F.W. Johnson Collegiate,Regina School Division No. 4,F.W. Johnson Collegiate Grade 12 Graduation,2026-06-23 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",89,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-021,Martin Collegiate,Regina School Division No. 4,Martin Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Regina,Estimated 150–350 graduates depending school; verify directly.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,83,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-022,Scott Collegiate,Regina School Division No. 4,Scott Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Regina,Estimated 150–350 graduates depending school; verify directly.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,78,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-023,Sheldon-Williams Collegiate,Regina School Division No. 4,Sheldon-Williams Collegiate Grade 12 Graduation,2026-06-24 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",90,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-024,Thom Collegiate,Regina School Division No. 4,Thom Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,85,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-025,Winston Knoll Collegiate,Regina School Division No. 4,Winston Knoll Collegiate Grade 12 Graduation,2026-06-24 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",92,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-026,Campus Regina Public,Regina School Division No. 4,Campus Regina Public Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Regina,Estimated 150–350 graduates depending school; verify directly.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-027,Archbishop M.C. O’Neill Catholic High School,Regina Roman Catholic Separate School Division No. 81,Archbishop M.C. O’Neill Catholic High School Grade 12 Graduation,2026-06-26 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 180–330 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",90,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
EVT-028,Dr. Martin LeBoldus Catholic High School,Regina Roman Catholic Separate School Division No. 81,Dr. Martin LeBoldus Catholic High School Grade 12 Graduation,2026-06-25 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 180–330 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",92,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
EVT-029,Michael A. Riffel Catholic High School,Regina Roman Catholic Separate School Division No. 81,Michael A. Riffel Catholic High School Grade 12 Graduation,2026-06-25 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 180–330 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",92,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
EVT-030,Miller Comprehensive Catholic High School,Regina Roman Catholic Separate School Division No. 81,Miller Comprehensive Catholic High School Grade 12 Graduation,2026-06-25 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 180–330 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",92,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.rcsd.ca/schools; https://www.rcsd.ca/,2026-06-26
EVT-031,Carlton Comprehensive High School,Saskatchewan Rivers School Division No. 119,Carlton Comprehensive High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Prince Albert,Estimated 80–400 graduates depending school; verify.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,90,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.srsd119.ca/schools; https://www.srsd119.ca/,2026-06-26
